Reason,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Rental Availability (product.metafields.scf.avf),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),wall-e-4k-uhd-blu-ray-floor-sale-kids-family,WALL•E,,4K UHD/BLU-RAY,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,28261626,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),after-hours-4k-uhd-blu-ray-floor-sale-drama,After Hours,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,28163322,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),akira-kurosawa-s-dreams-4k-uhd-blu-ray-floor-sale-drama,Akira Kurosawa’s Dreams,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,28130554,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),others-the-4k-uhd-blu-ray-floor-sale-horror,"Others, The",,4K UHD/BLU-RAY,,,"Floor Sale, Horror",true,Genre,Horror,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,28065018,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),trainspotting-4k-uhd-blu-ray-floor-sale-drama,Trainspotting,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,27966714,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),godzilla-4k-uhd-blu-ray-floor-sale-sci-fi,Godzilla,,4K UHD/BLU-RAY,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,27933946,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),mulholland-dr-4k-uhd-blu-ray-floor-sale-drama,Mulholland Dr.,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,27737338,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),uncut-gems-4k-uhd-blu-ray-floor-sale-drama,Uncut Gems,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,27671802,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),menace-ii-society-4k-uhd-blu-ray-floor-sale-drama,Menace II Society,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,27606266,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),malcolm-x-4k-uhd-blu-ray-floor-sale-drama,Malcolm X,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,27540730,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),guillermo-del-toro-s-pinocchio-4k-uhd-blu-ray-floor-sale-drama,Guillermo del Toro’s Pinocchio,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,27016442,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),blood-simple-4k-uhd-blu-ray-floor-sale-drama,Blood Simple,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,26983674,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),no-country-for-old-men-4k-uhd-blu-ray-floor-sale-drama,No Country for Old Men,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,26852602,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),punch-drunk-love-4k-uhd-blu-ray-floor-sale-drama,Punch-Drunk Love,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,26754298,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),altered-states-4k-uhd-blu-ray-floor-sale-drama,Altered States,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,26590458,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),breakfast-club-the-4k-uhd-blu-ray-floor-sale-comedy,"Breakfast Club, The",,4K UHD/BLU-RAY,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,26557690,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),pee-wees-big-adventure-4k-uhd-blu-ray-floor-sale-comedy,Pee-wee's Big Adventure,,4K UHD/BLU-RAY,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,26492154,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),killers-of-the-flower-moon-4k-uhd-blu-ray-floor-sale-drama,Killers of the Flower Moon,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,26426618,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),sentimental-value-4k-uhd-blu-ray-floor-sale-drama,Sentimental Value,,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,26361082,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),elephant-man-the-4k-uhd-blu-ray-floor-sale-drama,"Elephant Man, The",,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,26295546,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),secret-agent-the-4k-uhd-blu-ray-floor-sale-drama,"Secret Agent, The",,4K UHD/BLU-RAY,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,deny,manual,49.95,,true,true,,,,,26262778,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor '4K UHD/BLU-RAY' is not VHS/DVD/Blu-Ray/4K/Laserdisc/Betamax),complete-kubrick-the-4k-uhd-blu-ray-floor-sale-action,"Complete Kubrick, The",,4K UHD/BLU-RAY,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,deny,manual,599.95,,true,true,,,,,26230010,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
