Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
a-rumor-of-angels-vhs-rental-drama,A Rumor of Angels,"<p>Twelve-year-old James Neubauer (Trevor Morgan) is spending the summer in Maine. He's emotionally estranged from his father (Ray Liotta), resentful of his stepmother (Catherine McCormack), and haunted by the events surrounding his mother's death. James's summer takes a turn when he crashes through a fence owned by the local recluse, Maddy (Vanessa Redgrave). Reluctantly enlisted to repair the damage, he's at first put off by Maddy's personality and candor, but they eventually form a bond.</p>",VHS,,"","Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,66916090,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/p26341_p_v10_aa.jpg?v=1783990731,1,"",false,,,,,,,,,,lb,,,active
georgia-vhs-rental-drama,Georgia,"<p>Georgia Flood (Mare Winningham) is a well-to-do folk-singer with a stable family and a loving husband. Her younger sister, Sadie (Jennifer Jason Leigh), is the lead singer in a rowdy punk-rock band. Living in Georgia's shadow causes Sadie to become obsessed with her, and she tries everything she can to live up to her big sister's achievements. Unfortunately it is this very obsession --coupled with her self-destructive tendencies and rampant drug abuse-- that keep her spiraling down the drain.</p>",VHS,,"","Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,66883322,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_7fc11d90-c1d4-47c5-b010-dc5313030c97.jpg?v=1783990729,1,"",false,,,,,,,,,,lb,,,active
permanent-midnight-vhs-rental-drama,Permanent Midnight,"<p>As television writer Jerry Stahl (Ben Stiller) becomes more successful, his heroin habit grows worse. Already using when he comes to Los Angeles, Stahl finds his problems intensify when he moves in with his friend Nicky (Owen Wilson), also an addict. Eventually, Stahl marries producer Sandra (Elizabeth Hurley) to help her get a green card, and she gets him jobs on top television shows. However, more and more, he is unable to separate his addiction from his working life.</p>",VHS,,"","Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,66850554,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/51TlzzrFpsL._SY300_SX300_QL70_FMwebp.webp?v=1783990728,1,"",false,,,,,,,,,,lb,,,active
leaving-normal-vhs-rental-comedy,Leaving Normal,"<p>A waitress with a past that's weighing her down, Darly decides to drive to Alaska to try and come to terms with her unfortunate history. Along the way, Darly meets Marianne, an impulsive young woman leaving an abusive relationship. The two hit the road together and keep driving north, bonding over the hardships that they have endured and meeting a number of eccentric characters as they get closer to their destination.</p>",VHS,,"","Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,66817786,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_2817a5a2-edac-4497-b988-57aa4a664453.jpg?v=1783990727,1,"",false,,,,,,,,,,lb,,,active
jimmy-hollywood-vhs-rental-comedy,Jimmy Hollywood,"<p>Jimmy Alto (Joe Pesci) is an unemployed actor in Hollywood, Calif., who decides to allay his boredom by fighting crime. With assistance from his dim-witted buddy, William (Christian Slater), Jimmy forms a vigilante group and adopts the alias Jericho. Rather than take on criminals directly, Jimmy records them engaging in illegal activities and then gives the evidence to the cops. Inevitably, this pursuit winds up getting Jimmy and William into plenty of trouble.</p>",VHS,,"","Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,66785018,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/MV5BODgzYzA5Y2QtM2Y3OS00ODcyLWI4NGYtZDYyNWE0MmQ1MjA4XkEyXkFqcGc_._V1_FMjpg_UX1000.jpg?v=1783990726,1,"",false,,,,,,,,,,lb,,,active
in-between-vhs-rental-drama,In Between,<p>The souls of three strangers meet and reflect on the first day of the rest of eternity.</p>,VHS,,"","Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48451834,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/MV5BZGRmZmI0YjUtN2JjZi00MzY1LTk2ZGUtOGVlNGQ2NWUwZmYxXkEyXkFqcGc_._V1_FMjpg_UX1000.jpg?v=1783975124,1,"",false,,,,,,,,,,lb,,,active
jumpin-at-the-boneyard-vhs-rental-drama,Jumpin at the Boneyard,"<p>In this tough and uncompromising drama, unemployed Manny (Tim Roth) spends a painful day attempting to get his drug addict brother Danny (Alexis Arquette) straightened out.</p>",VHS,,"","Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48419066,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/MV5BNjM3OTM1MTczMV5BMl5BanBnXkFtZTcwNTM5NjMyMQ_._V1.jpg?v=1783975122,1,"",false,,,,,,,,,,lb,,,active
hells-kitchen-vhs-rental-thriller,Hell's Kitchen,<p>An ex-con returns to his home town after serving a five-year prison sentence. He approaches a former heavyweight contender to teach him the skills of boxing.</p>,VHS,,"","Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48386298,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_5f2ec65d-0226-42e2-a360-f93e26c79b65.jpg?v=1783975121,1,"",false,,,,,,,,,,lb,,,active
grand-canyon-vhs-rental-drama,Grand Canyon,<p>A diverse group of characters are thrown together through chance encounters while coping with urban chaos in L.A. The main focus is the growing friendship between an immigration lawyer (Kevin Kline) and a tow-truck driver (Danny Glover) who meet when Kline's car breaks down in a crime-ridden neighborhood.</p>,VHS,,"","Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48353530,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_bb1b9bb0-2fe3-4fd6-baa4-942b99a9e859.jpg?v=1783975119,1,"",false,,,,,,,,,,lb,,,active
stella-vhs-rental-drama,Stella,"<p>A feisty working-class single mother sacrifices herself to give her child a better life with her estranged, but wealthy father. She would do anything for her daughter, including giving her up.</p>",VHS,,"","Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48320762,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_db4032b3-2385-4e71-a935-6502eac8a5a3.jpg?v=1783975118,1,"",false,,,,,,,,,,lb,,,active
