Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
speed-racer-bluray,Speed Racer,"<p>Experience the high-octane thrills of this visually stunning cinematic adventure featuring vibrant colors and gravity-defying racing sequences. This widescreen edition offers an immersive home theater experience that captures every detail of the stylized, futuristic landscapes and intense competition. Perfect for families and fans of stylized action, this film delivers a heartwarming story wrapped in a cutting-edge aesthetic.</p>",Little Movie Store,Media > Videos,"","CircaOS Import, Kids & Family, Rental",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRSPE-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781285687045_6cd2e291-6891-4d30-8fd3-80b0aacf1652.jpg?v=1784081559,1,191-BLRSPE-50-001A,false,,,,,,,kids-family,blu-ray,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781285687045_6cd2e291-6891-4d30-8fd3-80b0aacf1652.jpg?v=1784081559,lb,,,active
hey-arnold-the-movie,Hey Arnold! The Movie,"<p>Release Year: 2002<br>
Director: Tuck Tucker<br>
Classic hand-drawn animation comes to life in this feature-length adventure where a group of neighborhood friends must work together to save their community from a greedy developer. This nostalgic piece of media is perfect for fans of nineties pop culture looking to complete their physical media collection. The story delivers heartwarming lessons on teamwork and urban preservation that remain relevant for viewers of all ages.</p>",Little Movie Store,Media > Videos,"","CircaOS Import, Kids & Family",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,191-NICHEY-N-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1779986144365_4352f68f-dffd-4a4b-8c8e-a34d3f905d34.jpg?v=1784081740,1,"",false,,,,,,,kids-family,vhs,,,,,,,,,,,lb,,,active
out-cold,Out Cold,"<p>This classic physical media release brings the slapstick energy of early 2000s mountain culture straight to your vintage home theater setup. The durable cassette features the original cinematic cover art, making it a nostalgic centerpiece for any collector of snow-themed comedies. Enjoy the distinct warmth and analog charm of this cult favorite that captures the rebellious spirit of life on the slopes.</p>",Little Movie Store,Media > Videos,"","CircaOS Import, Comedy, Floor Sale",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,191-VHSOUT-F-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780177376283_081c23b1-b6da-48e8-9b35-068831cf6c80.jpg?v=1784081738,1,"",false,,,,,,,comedy,vhs,,,,,,,,,,,lb,,,active
open-season,OPEN SEASON,<p>Experience the thrill of the great outdoors with this immersive hunting simulation that features realistic environments and a wide variety of North American game. Players can utilize authentic gear and tracking techniques to master the wilderness across multiple challenging levels. This engaging title provides hours of entertainment for sports enthusiasts looking for a detailed and strategic outdoor adventure.</p>,Little Movie Store,Media > Videos,"","CircaOS Import, Comedy, Rental",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,191-VHSOPE-G-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780176465245.jpg?v=1784081736,1,"",false,,,,,,,comedy,vhs,,,,,,,,,,,lb,,,active
open-season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781906282422_2848e1d7-4013-4eef-9267-428a27b725db.jpg?v=1784081736,2,191-VHSOPE-002A,,,,,,,,,,,,,,,,,,,,,,,
sour-grapes,Sour Grapes,"<p>Experience the nostalgia of this classic vintage home video featuring everyone's favorite purple character and her colorful friends. This collectible tape offers a charming journey through friendship and problem-solving, making it a perfect addition to any retro media collection or a thoughtful gift for enthusiasts of iconic 1980s animation. The durable clamshell case ensures this piece of childhood history remains preserved for future generations to enjoy.</p>",Little Movie Store,Media > Videos,"","CircaOS Import, Comedy, Floor Sale",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,191-VHSSOU-G-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780176260021_e44c5ce0-3351-47be-a0a6-ead45499df61.jpg?v=1784081734,1,"",false,,,,,,,comedy,vhs,,,,,,,,,,,lb,,,active
touch-and-go,Touch and Go,"<p>This vintage portable player features a built-in color screen and integrated speakers for a completely self-contained analog viewing experience. Its compact design and sturdy carrying handle make it easy to enjoy classic magnetic media tapes while traveling or relaxing at home. The intuitive tactile controls provide a nostalgic, hands-on feel for fans of retro technology and physical media collections.</p>",Little Movie Store,Media > Videos,"","CircaOS Import, Comedy",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,191-VHSTOU-F-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780176679684_791d40d2-ef61-42df-b118-6c8e36226913.jpg?v=1784081733,1,"",false,,,,,,,comedy,vhs,,,,,,,,,,,lb,,,active
opportunity-knocks,Opportunity Knocks,"<p>Relive the excitement of this classic game show addition to your vintage media collection. This physical home video format features the complete broadcast event, making it a nostalgic find for fans of retro television entertainment. It is housed in its original sleeve and ready to be enjoyed on any standard player.</p>",Little Movie Store,Media > Videos,"","CircaOS Import, Comedy, Floor Sale",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,191-VHSOPP-F-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780176995075_5d2ec00d-5797-4d3d-b1bb-12ad845879a1.jpg?v=1784081731,1,"",false,,,,,,,comedy,vhs,,,,,,,,,,,lb,,,active
company-man,Company Man,"<p>This suspenseful thriller follows a corporate professional who discovers a dark secret within his high-stakes workplace. Presented in its original physical format, this vintage tape offers a nostalgic viewing experience for collectors of nineties cinema and psychological dramas. The clamshell case preserves the striking cover art, making it a standout addition to any retro media library.</p>",VHS,,"","CircaOS Import, Floor Sale, Needs Review",true,Condition,F,,Serial Number,001A,,,,,191-VHSCOM-F-001A,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,191-VHSCOM-F-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780177117823.jpg?v=1784081776,1,"",false,,,,,,,,,,,,,,,,,,,lb,,,active
threes-trouble,THREE'S TROUBLE,<p>This vintage physical media release offers a nostalgic viewing experience for collectors of classic home entertainment. The tape comes in its original protective sleeve and features a full-length comedy presentation that captures the charm of analog video playback. It is a must-have addition for any enthusiast looking to complete their retro film library.</p>,VHS,,"","CircaOS Import, Floor Sale, Needs Review",true,Condition,F,,Serial Number,001A,,,,,191-VHSTHR-F-001A,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,191-VHSTHR-F-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780177285764.jpg?v=1784081775,1,"",false,,,,,,,,,,,,,,,,,,,lb,,,active
