Reason,Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre),Type,Published,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
no Rental or Floor Sale tag — cannot tell which this is,for-the-boys-dvd-rental-musical,For the Boys,,DVD,Uncategorized,"Comedy, Musical",Genre,Musical,shopify,1,deny,manual,0.00,86698490,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,a-knights-tale-bluray-action,A Knights Tale,,Blu-Ray,,Action,Genre,#VALUE!,shopify,1,deny,manual,0.00,19653114,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,paradise-now-bluray-drama,Paradise Now,,Blu-Ray,Uncategorized,Drama,Genre,Thriller,shopify,1,deny,manual,0.00,19620346,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,reindeer-games-vhs,Reindeer Games,"<p>Just released from prison, all Rudy Duncan (Ben Affleck) wants is to start a new life with Ashley (Charlize Theron), the girl of his dreams, whom he met through pen pal letters in prison. But between them and happiness stands her crazy brother, Gabriel (Gary Sinise), and his motley crew of deadly criminals who think Rudy has some inside information about a casino where he once had a job -- a casino Gabriel and his short-fused posse plan to take down.</p>",VHS,,,Genre,#VALUE!,shopify,1,deny,manual,0.00,89943290,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_b95df578-48c8-4f0b-a3ce-c63fb85f6bb7.jpg?v=1783606252,1,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,the-monkeys-uncle,The Monkey's Uncle,This classic live-action comedy follows a brilliant student and his chimpanzee companion as they attempt to power a man-made flying machine. The vintage home media release offers a nostalgic viewing experience for collectors of mid-century cinema and fans of lighthearted family entertainment. It serves as an essential addition for those looking to complete their library of quintessential studio adventures from this era.,Walt Disney,,,Condition,Standard,shopify,1,deny,manual,28.00,191-WLTTHE-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782254416692.jpg?v=1782255286,1,191-WLTTHE-001A,,,true,,Serial Number,001A,,,,,191-WLTTHE-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782254416692.jpg?v=1782255286,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,omen,Omen,"This premium collector's set features a restoration of the influential supernatural horror masterpiece along with an extensive array of insightful bonus material and retrospective interviews. Housed in custom themed packaging, it offers the definitive viewing experience for cinema enthusiasts looking to delve deeper into the lore and production of this chilling classic.",DVD,,Horror,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDOME-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253227916.jpg?v=1782254042,1,191-DVDOME-001A,,,true,,Serial Number,001A,,,,,191-DVDOME-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253227916.jpg?v=1782254042,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,30-days-of-night,30 Days of Night,"This gripping graphic novel captures a terrifying month-long siege where eternal darkness provides the perfect cover for a pack of ruthless vampires. The stark, visceral illustration style heightens the tension as a small Alaskan town fights for survival against an ancient predatory threat. It is a cinematic horror masterpiece that remains a definitive modern classic for fans of supernatural suspense and survival stories.",DVD,,Horror,Condition,Standard,shopify,1,deny,manual,0.00,191-DVD30D-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253183049.jpg?v=1782254040,1,191-DVD30D-001A,,,true,,Serial Number,001A,,,,,191-DVD30D-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253183049.jpg?v=1782254040,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,chronicle,Chronicle,This handheld gaming collection brings together two classic arcade role-playing adventures in one convenient package. These titles offer deep character progression and strategic combat for fans of retro fantasy aesthetics and immersive storytelling. Experience legendary quests and challenging dungeons with smooth performance optimized for modern portable play.,DVD,,Thriller,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDCHR-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253399278.jpg?v=1782254034,1,191-DVDCHR-001A,,,true,,Serial Number,001A,,,,,191-DVDCHR-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253399278.jpg?v=1782254034,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,prince-of-persia-the-sands-of-time,Prince of Persia: The Sands of Time,"This action-packed cinematic adventure follows a rogue prince and a mysterious princess as they race to protect an ancient dagger capable of reversing time. Experience an epic journey across desert landscapes filled with high-stakes parkour, stunning visual effects, and mythological battles. This thrilling fantasy tale is a must-have for fans of legendary quests and timeless heroism.",DVD,,Action,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDPRI-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253049781.jpg?v=1782254028,1,191-DVDPRI-001A,,,true,,Serial Number,001A,,,,,191-DVDPRI-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253049781.jpg?v=1782254028,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,legend-of-zorro,Legend of Zorro,This widescreen special edition features the high-stakes journey of a legendary masked hero and includes exclusive behind-the-scenes footage and director commentary. It offers a premium cinematic viewing experience with enhanced digital mastering and dual-language audio tracks. This physical disc is a perfect addition for collectors who enjoy epic action sequences and classic adventure storytelling.,DVD,Uncategorized,Action,Condition,Standard,,1,deny,manual,0.00,88302842,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252996862.jpg?v=1782253858,1,191-DVDLEG-001A,,,true,,Serial Number,001A,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
