Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
the-broken-hearts-club-dvd,The Broken Hearts Club,"<p>A fresh, funny, real story about a group of gay men in Hollywood, their lovers and friends, and the often hilarious, occasionally poignant space in between -- that is if they can get any space at all. As they make their ways in the world with and without each other, they are suddenly faced with an unexpected tragedy. The group finds comfort the only way they ever have -- together.</p>",DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,91062010,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_41ead401-7d66-4ba8-a23f-16097ad00578.jpg?v=1783251969,1,The Broken Hearts Club poster,comedy
clueless-dvd,Clueless,"<p>Shallow, rich and socially successful Cher (Alicia Silverstone) is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai (Brittany Murphy) a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother (Paul Rudd) was right about how misguided she was -- and falls for him.</p>",DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,91029242,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_12e9ae54-e5bd-4ebb-a28b-f17d64183cd1.jpg?v=1783251968,1,Clueless poster,comedy
easy-a-dvd,Easy A,"<p>Prompted by her popular best friend to spill details of her boring weekend, Olive, a clean-cut teen, decides to spice things up by telling a little lie about losing her virginity; when the high-school busybody overhears the conversation and spreads it all over campus, Olive is suddenly notorious but for the wrong reasons.</p>",DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,90996474,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_db37fb40-7f14-4d8a-865e-384737cc6e0e.jpg?v=1783251966,1,Easy A poster,comedy
casino-carlitos-way-dvd,Casino / Carlito's Way,"<p>CASINO: In early-1970s Las Vegas, low-level mobster Sam ""Ace"" Rothstein (Robert De Niro) gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro (Joe Pesci), his ex-hustler wife Ginger (Sharon Stone), her con-artist ex Lester Diamond (James Woods) and a handful of corrupt politicians put Sam in ever-increasing danger. Martin Scorsese directs this adaptation of Nicholas Pileggi's book.</p>

<p>CARLITO'S WAY: A free man after years in prison, Carlito Brigante intends to give up his criminal ways, but it's not long before the ex-con is sucked back into the New York City underworld. Reconnecting with his dancer girlfriend, Gail, Carlito gets entangled in the shady dealings of his friend Dave Kleinfeld, who also serves as his lawyer. When Carlito and Kleinfeld run afoul of shifty gangster Benny Blanco, it sets them on a dangerous path.</p>",DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,90963706,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_45165682-bdcf-4e11-9ea5-eccf26a66c2f.jpg?v=1783251965,1,Casino / Carlito's Way poster,drama
leon-the-professional-dvd,Léon The Professional,"<p>Mathilda (Natalie Portman) is only 12 years old, but is already familiar with the dark side of life: her abusive father stores drugs for corrupt police officers, and her mother neglects her. Léon (Jean Reno), who lives down the hall, tends to his houseplants and works as a hired hitman for mobster Tony (Danny Aiello). When her family is murdered by crooked DEA agent Stansfield (Gary Oldman), Mathilda joins forces with a reluctant Léon to learn his deadly trade and avenge her family's deaths.</p>",DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,90930938,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_8f9d7971-58a5-4c34-9565-59a4b3bb806b.jpg?v=1783251965,1,Léon The Professional poster,action
hostel-part-ii-dvd,Hostel Part II,"<p>Beth (Lauren German), Lorna (Heather Matarazzo) and Whitney (Bijou Phillips), three young American women traveling abroad in Rome, decide to take a weekend excursion. Lured from their intended destination by a beautiful acquaintance (Vera Jordanova), the women anticipate a stay at a luxurious spa. Instead, they become pawns in a grisly game designed to entertain wealthy deviants from around the world.</p>",DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,90898170,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_4bb4edf0-0b0e-4aec-aa62-0147920d73e8.jpg?v=1783251963,1,Hostel Part II poster,horror
pet-semetary-dvd,Pet Semetary,"<p>Doctor Louis Creed (Dale Midkiff) moves his family to Maine, where he meets a friendly local named Jud Crandall (Fred Gwynne). After the Creeds' cat is accidentally killed, Crandall advises Louis to bury it in the ground near the old pet cemetery. The cat returns to life, its personality changed for the worse. When Louis' son, Gage (Miko Hughes), dies tragically, Louis decides to bury the boy's body in the same ground despite the warnings of Crandall and Louis' visions of a deceased patient.</p>",DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,90865402,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_1650a3ff-85db-4fe7-9b0d-f0b4bc915c73.jpg?v=1783251962,1,Pet Semetary poster,horror
the-itlaian-job-dvd,The Itaian Job,"<p>After a heist in Venice, Steve turns on his partners in crime, killing safecracker John Bridger and keeping all the gold for himself; the rest of the team, including leader Charlie Croker, driver Handsome Rob, explosives man Left Ear and tech geek Lyle, vows revenge; they enlist the help of Bridger's daughter, Stella, and plot to recover the gold from Steve's Los Angeles mansion.</p>",DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,90832634,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_ca1bfc3b-eec0-4580-8472-db1a255b893b.jpg?v=1783251961,1,The Itaian Job poster,action
the-40-year-old-virgin-dvd,The 40-Year-Old Virgin,"<p>Electronics store stock boy Andy Stitzer is horrified when he is found out as a virgin by his workmates - just when he thought he was becoming one of the gang. David, Jay and Cal surprise him by making it their mission to get him a girl and help him lose his virginity.</p>",DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,65676794,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_7f6672ec-b027-44fb-8f4f-8bfc421a6761.jpg?v=1783219160,1,The 40-Year-Old Virgin poster,comedy
matrix-reloaded-dvd,Matrix Reloaded,"<p>Freedom fighters Neo (Keanu Reeves), Trinity (Carrie-Anne Moss) and Morpheus (Laurence Fishburne) continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation. In their quest to save the human race from extinction, they gain greater insight into the construct of The Matrix and Neo's pivotal role in the fate of mankind.</p>",DVD,Media > Videos,"Rental, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,52504058,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_6dac530f-bbae-4642-84ca-fa067ea4e76d.jpg?v=1783218474,1,Matrix Reloaded poster,sci-fi
