call_number,title,description,tags,image_path
78447098,2 Days in the Valley,"In a sleepy bedroom community of LA's San Fernando Valley, the murder of a professional athlete by two hit men sets into motion a chain of events that puts the mundane lives of a dozen residents on a collision course. This clever tale tells the story of two hit men, a mistress, a nurse, a vindictive ex-wife, a wealthy art dealer and his lovelorn assistant, a suicidal writer and his dog, and a bitter cop and his partner.","VHS, thriller",libib-sync/batch-0002/78447098.jpg
48222458,2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.","Blu-Ray, action",libib-sync/batch-0002/48222458.jpg
64361210,300,"A story very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians.","Blu-Ray, fantasy",libib-sync/batch-0002/64361210.jpg
34849786,8 Heads in a Duffle Bag,"Mafia hitman Tommy Spinelli is flying to San Diego with a bag that holds eight severed heads, which he's bringing to his superiors to prove that some troublesome rival mobsters are permanently out of the picture. When his bag gets accidentally switched at the airport, Tommy must track down his duffel bag and the 8 heads it contains.","VHS, comedy",libib-sync/batch-0002/34849786.jpg
78283258,A Fistful of Dollars,"The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.","VHS, action",libib-sync/batch-0002/78283258.jpg
98277370,A Low Down Dirty Shame,"A black detective becomes embroiled in a web of danger while searching for a fortune in missing drug money. During the course of his investigation, he encounters various old connections, ultimately confronting the criminal responsible for Shame's expulsion from the force. He must also deal with two women, Angela, a beautiful old flame, and Peaches, his energetic but annoying sidekick.","VHS, action",libib-sync/batch-0002/98277370.jpg
78938618,A Paradine Case,"In London, barrister Anthony Keane takes the case of Maddalena Paradine, a beautiful woman accused of poisoning her blind husband. Though happily married, Keane becomes infatuated with his enigmatic client and convinced of her innocence. His obsession clouds his judgment as he builds a defense implicating her servant, André Latour—an act that leads to devastating consequences both in court and at home.","VHS, drama",libib-sync/batch-0002/78938618.jpg
92552954,A Prayer for the Dying,"Martin, an I.R.A. hitman, is seen by a Catholic priest while carrying out a hit. He grows a bond with the priest and his niece. But his past and his former employers put all their lives in danger.","VHS, thriller",libib-sync/batch-0002/92552954.jpg
35177466,A Pyromaniac's Love Story,"A pastry boy and the son of a hair-piece mogul become involved in an arson scandal. Sergio is offered a bribe in exchange for taking the blame for the fire that destroys his workplace. Garet, the real arsonist, is apalled that someone else would try to take credit for his act of love. Before long, Sergio and Garet become entangled in a zany love-quadrangle involving Hattie and Stephanie. Written by Brian Whiting","VHS, romantic-comedy",libib-sync/batch-0002/35177466.jpg
00866042,A Taste for Killing,"Two college students get a summer job on an offshore oil rig. They are soon approached by a co-worker who had earlier befriended them, and who now tries to draw them into a plot to murder the rig's crew chief.","VHS, thriller",libib-sync/batch-0002/00866042.jpg
81116922,Against the Wall,"In 1971, a warden at Attica Penitentiary is caught up in a hostage crisis when inmates take over the prison to demand better living conditions.","VHS, drama",libib-sync/batch-0002/81116922.jpg
60970746,Aladdin and the King of Thieves,"Legendary secrets are revealed as Aladdin and his friends—Jasmine, Abu, Carpet and, of course, the always entertaining Genie—face all sorts of terrifying threats and make some exciting last-minute escapes pursuing the King Of Thieves and his villainous crew.","VHS, kids-family",libib-sync/batch-0002/60970746.jpg
