Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
for-the-boys-dvd-rental-musical,For the Boys,,DVD,Media > Videos,"DVD, Musical, Comedy, Formatted, Issue, Rental-or-Sale",Genre,Musical,shopify,1,deny,manual,0.00,86698490,,,,musical; comedy
a-knights-tale-bluray-action,A Knights Tale,"<p>William Thatcher, a knight's peasant apprentice, gets a chance at glory when the knight dies suddenly mid-tournament. Posing as a knight himself, William won't stop until he's crowned tournament champion—assuming matters of the heart don't get in the way.</p>",Blu-Ray,Media > Videos,"Blu-Ray, Action, Formatted, Issue, Rental-or-Sale",Genre,Action,shopify,1,deny,manual,0.00,19653114,https://image.tmdb.org/t/p/w1280/srb1XnrlDZHcdpjBKqUu4qAzxKU.jpg,,A Knights Tale (2001) poster,action
paradise-now-bluray-drama,Paradise Now,,Blu-Ray,Media > Videos,"Blu-Ray, Thriller, Drama, Formatted, Issue, Rental-or-Sale",Genre,Thriller,shopify,1,deny,manual,0.00,19620346,,,,thriller; drama
omen,Omen,"This premium collector's set features a restoration of the influential supernatural horror masterpiece along with an extensive array of insightful bonus material and retrospective interviews. Housed in custom themed packaging, it offers the definitive viewing experience for cinema enthusiasts looking to delve deeper into the lore and production of this chilling classic.",DVD,Media > Videos,"DVD, Horror, Formatted, Issue, Rental-or-Sale",Genre,Horror,shopify,1,deny,manual,0.00,191-DVDOME-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253227916.jpg?v=1782254042,1,191-DVDOME-001A,horror
30-days-of-night,30 Days of Night,"This gripping graphic novel captures a terrifying month-long siege where eternal darkness provides the perfect cover for a pack of ruthless vampires. The stark, visceral illustration style heightens the tension as a small Alaskan town fights for survival against an ancient predatory threat. It is a cinematic horror masterpiece that remains a definitive modern classic for fans of supernatural suspense and survival stories.",DVD,Media > Videos,"DVD, Horror, Formatted, Issue, Rental-or-Sale",Genre,Horror,shopify,1,deny,manual,0.00,191-DVD30D-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253183049.jpg?v=1782254040,1,191-DVD30D-001A,horror
chronicle,Chronicle,This handheld gaming collection brings together two classic arcade role-playing adventures in one convenient package. These titles offer deep character progression and strategic combat for fans of retro fantasy aesthetics and immersive storytelling. Experience legendary quests and challenging dungeons with smooth performance optimized for modern portable play.,DVD,Media > Videos,"DVD, Thriller, Formatted, Issue, Rental-or-Sale",Genre,Thriller,shopify,1,deny,manual,0.00,191-DVDCHR-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253399278.jpg?v=1782254034,1,191-DVDCHR-001A,thriller
prince-of-persia-the-sands-of-time,Prince of Persia: The Sands of Time,"This action-packed cinematic adventure follows a rogue prince and a mysterious princess as they race to protect an ancient dagger capable of reversing time. Experience an epic journey across desert landscapes filled with high-stakes parkour, stunning visual effects, and mythological battles. This thrilling fantasy tale is a must-have for fans of legendary quests and timeless heroism.",DVD,Media > Videos,"DVD, Action, Formatted, Issue, Rental-or-Sale",Genre,Action,shopify,1,deny,manual,0.00,191-DVDPRI-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253049781.jpg?v=1782254028,1,191-DVDPRI-001A,action
legend-of-zorro,Legend of Zorro,This widescreen special edition features the high-stakes journey of a legendary masked hero and includes exclusive behind-the-scenes footage and director commentary. It offers a premium cinematic viewing experience with enhanced digital mastering and dual-language audio tracks. This physical disc is a perfect addition for collectors who enjoy epic action sequences and classic adventure storytelling.,DVD,Media > Videos,"DVD, Action, Formatted, Issue, Rental-or-Sale",Genre,Action,shopify,1,deny,manual,0.00,88302842,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252996862.jpg?v=1782253858,1,191-DVDLEG-001A,action
legend-of-zorro,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252996862_7f6db001-2a67-4308-a3eb-4c9ab5a83a61.jpg?v=1782254025,2,191-DVDLEG-001A,
legend-of-zorro,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252996862_8f2a419f-bc10-4e9d-90d1-3433d4ab38a5.jpg?v=1782257855,3,191-DVDLEG-001A,
legend-of-zorro,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252996862_196f7d76-6614-4e99-894a-9baf5729a90f.jpg?v=1782258368,4,191-DVDLEG-001A,
legend-of-zorro,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252996862_2fcfe3bf-629c-4af9-9186-f95bff1a358f.jpg?v=1782258953,5,191-DVDLEG-001A,
dragon-wars-d-war,Dragon Wars D-War,"This epic fantasy film features groundbreaking visual effects and massive urban battles between ancient mythical creatures and modern military forces. It offers a high-octane viewing experience for fans of kaiju cinema and legendary lore, showcasing a climactic struggle to fulfill a centuries-old prophecy. The production blends large-scale CGI spectacle with a fast-paced narrative that keeps action enthusiasts engaged from start to finish.",DVD,Media > Videos,"DVD, Fantasy, Formatted, Issue, Rental-or-Sale",Genre,Fantasy,shopify,1,deny,manual,0.00,191-DVDDRA-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252823134.jpg?v=1782253852,1,191-DVDDRA-001A,fantasy
transformers-two-disc-special-edition,Transformers: Two-Disc Special Edition,"This action-packed special edition features the full-length blockbuster film along with a second disc dedicated to immersive behind-the-scenes content and deleted scenes. It is an essential collectible for fans of high-octane visual effects and deep-dive cinematic history, offering a comprehensive look into the making of a modern sci-fi epic. The set comes in a durable case with vibrant cover art that makes it a standout addition to any home media library.",DVD,Media > Videos,"DVD, Action, Formatted, Issue, Rental-or-Sale",Genre,Action,shopify,1,deny,manual,0.00,191-DVDTRA-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253137786.jpg?v=1782253851,1,191-DVDTRA-001A,action
gladiator,Gladiator,Experience an epic tale of courage and vengeance with this premium physical media release featuring high-definition picture quality and immersive audio. This signature collection includes comprehensive behind-the-scenes documentaries and director commentary that provide a deep dive into the creation of this cinematic masterpiece. It is a essential addition for film enthusiasts looking to own a definitive version of this award-winning historical drama.,DVD,Media > Videos,"DVD, Drama, Formatted, Issue, Rental-or-Sale",Genre,Drama,shopify,1,deny,manual,0.00,191-DVDGLA-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252721677.jpg?v=1782253844,1,191-DVDGLA-001A,drama
